Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position
First,8,9,8,Right-handed,I don't know,On your right side
First,8,10,8,Right-handed,I don't know,On your right side
First,2,1,8,Right-handed,Left leg in first,On your right side
First,3,2,8,Right-handed,Left leg in first,On your right side
First,3,3,8,Left-handed,Left leg in first,On your right side
First,3,3,8,Right-handed,Left leg in first,On your right side
First,6,6,8,Right-handed,Left leg in first,On your right side
First,7,4,8,Right-handed,Left leg in first,On your right side
First,7,4,8,Right-handed,Left leg in first,On your right side
First,8,5,8,Right-handed,Left leg in first,On your right side
First,8,15,8,Right-handed,Left leg in first,On your right side
First,9,3,8,Right-handed,Left leg in first,On your right side
First,10,2,8,Left-handed,Left leg in first,On your right side
First,3,0,8,Right-handed,Right leg in first,On your right side
First,3,4,8,Right-handed,Right leg in first,On your right side
First,3,5,8,Right-handed,Right leg in first,On your right side
First,3,5,8,Right-handed,Right leg in first,On your right side
First,3,5,8,Right-handed,Right leg in first,On your right side
First,3,10,8,Right-handed,Right leg in first,On your right side
First,4,2,8,Right-handed,Right leg in first,On your right side
First,4,6,8,Right-handed,Right leg in first,On your right side
First,4,8,8,Right-handed,Right leg in first,On your right side
First,5,3,8,Right-handed,Right leg in first,On your right side
First,5,8,8,Right-handed,Right leg in first,On your right side
First,5,10,8,Right-handed,Right leg in first,On your right side
First,6,2,8,Right-handed,Right leg in first,On your right side
First,6,5,8,Left-handed,Right leg in first,On your right side
First,6,5,8,Right-handed,Right leg in first,On your right side
First,6,5,8,Right-handed,Right leg in first,On your right side
First,7,2,8,Right-handed,Right leg in first,On your right side
First,7,8,8,Right-handed,Right leg in first,On your right side
First,7,8,8,Right-handed,Right leg in first,On your right side
First,7,8,8,Right-handed,Right leg in first,On your right side
First,7,8,8,Right-handed,Right leg in first,On your right side
First,8,2,8,Right-handed,Right leg in first,On your right side
First,8,4,8,Right-handed,Right leg in first,On your right side
First,8,5,8,Right-handed,Right leg in first,On your right side
First,8,10,8,Right-handed,Right leg in first,On your right side
First,8,2,8,Right-handed,I don't know,On your stomach
First,3,5,8,Right-handed,Left leg in first,On your stomach
First,5,12,8,Right-handed,Left leg in first,On your stomach
First,6,3,8,Right-handed,Left leg in first,On your stomach
First,6,4,8,Right-handed,Left leg in first,On your stomach
First,6,5,8,Left-handed,Left leg in first,On your stomach
First,7,2,8,Right-handed,Left leg in first,On your stomach
First,3,4,8,Right-handed,Right leg in first,On your stomach
First,3,5,8,Right-handed,Right leg in first,On your stomach
First,3,8,8,Left-handed,Right leg in first,On your stomach
First,4,7,8,Right-handed,Right leg in first,On your stomach
First,5,1,8,Right-handed,Right leg in first,On your stomach
First,5,3,8,Right-handed,Right leg in first,On your stomach
First,5,6,8,Right-handed,Right leg in first,On your stomach
First,5,8,8,Right-handed,Right leg in first,On your stomach
First,6,5,8,Right-handed,Right leg in first,On your stomach
First,7,4,8,Right-handed,Right leg in first,On your stomach
First,7,4,8,Right-handed,Right leg in first,On your stomach
First,7,10,8,Right-handed,Right leg in first,On your stomach
First,8,4,8,Right-handed,Right leg in first,On your stomach
First,9,13,8,Right-handed,Right leg in first,On your stomach
Fourth,5,4,8,Right-handed,I don't know,On your back
Fourth,2,5,8,Right-handed,Left leg in first,On your back
Fourth,3,4,8,Right-handed,Left leg in first,On your back
Fourth,7,5,8,Right-handed,Left leg in first,On your back
Fourth,7,7,8,Right-handed,Right leg in first,On your back
Fourth,7,9,8,Right-handed,Right leg in first,On your back
Fourth,4,5,8,Left-handed,Left leg in first,On your left side
Fourth,5,5,8,Both,Left leg in first,On your left side
Fourth,5,5,8,Right-handed,Left leg in first,On your left side
Fourth,5,7,8,Right-handed,Right leg in first,On your left side
Fourth,6,2,8,Right-handed,Right leg in first,On your left side
Fourth,6,3,8,Right-handed,Right leg in first,On your left side
Fourth,7,1,8,Right-handed,Right leg in first,On your left side
Fourth,8,7,8,Right-handed,Right leg in first,On your left side
Fourth,5,5,8,Left-handed,I don't know,On your right side
Fourth,3,4,8,Right-handed,Left leg in first,On your right side
Fourth,6,4,8,Left-handed,Left leg in first,On your right side
Fourth,7,6,8,Right-handed,Left leg in first,On your right side
Fourth,8,8,8,Right-handed,Left leg in first,On your right side
Fourth,3,1,8,Right-handed,Right leg in first,On your right side
Fourth,4,7,8,Right-handed,Right leg in first,On your right side
Fourth,5,5,8,Right-handed,Right leg in first,On your right side
Fourth,6,5,8,Right-handed,Right leg in first,On your right side
Fourth,7,8,8,Right-handed,Right leg in first,On your right side
Fourth,8,5,8,Right-handed,Right leg in first,On your right side
Fourth,8,10,8,Right-handed,Right leg in first,On your right side
Fourth,9,10,8,Right-handed,Right leg in first,On your right side
Fourth,3,2,8,Left-handed,I don't know,On your stomach
Fourth,3,5,8,Right-handed,I don't know,On your stomach
Fourth,8,10,8,Right-handed,I don't know,On your stomach
Fourth,7,3,8,Right-handed,Right leg in first,On your stomach
Fourth,10,8,8,Right-handed,Right leg in first,On your stomach
Second,1,1,8,Right-handed,I don't know,On your back
Second,3,2,8,Right-handed,I don't know,On your back
Second,4,10,8,Left-handed,I don't know,On your back
Second,7,3,8,Right-handed,I don't know,On your back
Second,7,7,8,Right-handed,I don't know,On your back
Second,3,2,8,Right-handed,Left leg in first,On your back
Second,3,3,8,Right-handed,Left leg in first,On your back
Second,3,5,8,Right-handed,Left leg in first,On your back
Second,3,6,8,Right-handed,Left leg in first,On your back
Second,4,2,8,Right-handed,Left leg in first,On your back
Second,4,5,8,Right-handed,Left leg in first,On your back
Second,4,7,8,Right-handed,Left leg in first,On your back
Second,5,3,8,Right-handed,Left leg in first,On your back
Second,5,4,8,Right-handed,Left leg in first,On your back
Second,5,10,8,Right-handed,Left leg in first,On your back
Second,6,6,8,Right-handed,Left leg in first,On your back
Second,6,8,8,Right-handed,Left leg in first,On your back
Second,6,10,8,Right-handed,Left leg in first,On your back
Second,10,3,8,Right-handed,Left leg in first,On your back
Second,3,3,8,Right-handed,Right leg in first,On your back
Second,3,4,8,Right-handed,Right leg in first,On your back
Second,4,1,8,Right-handed,Right leg in first,On your back
Second,4,2,8,Right-handed,Right leg in first,On your back
Second,4,8,8,Right-handed,Right leg in first,On your back
Second,4,12,8,Right-handed,Right leg in first,On your back
Second,5,3,8,Right-handed,Right leg in first,On your back
Second,5,3,8,Right-handed,Right leg in first,On your back
Second,5,5,8,Right-handed,Right leg in first,On your back
Second,5,5,8,Right-handed,Right leg in first,On your back
Second,5,5,8,Right-handed,Right leg in first,On your back
Second,5,6,8,Right-handed,Right leg in first,On your back
Second,6,10,8,Right-handed,Right leg in first,On your back
Second,7,3,8,Left-handed,Right leg in first,On your back
Second,7,5,8,Right-handed,Right leg in first,On your back
Second,7,15,8,Right-handed,Right leg in first,On your back
Second,8,3,8,Right-handed,Right leg in first,On your back
Second,8,5,8,Right-handed,Right leg in first,On your back
Second,8,15,8,Right-handed,Right leg in first,On your back
Second,9,5,8,Right-handed,Right leg in first,On your back
Second,9,15,8,Right-handed,Right leg in first,On your back
Second,10,30,8,Right-handed,Right leg in first,On your back
Second,3,0,8,Right-handed,I don't know,On your left side
Second,4,5,8,Right-handed,I don't know,On your left side
Second,7,5,8,Right-handed,I don't know,On your left side
Second,7,5,8,Right-handed,I don't know,On your left side
Second,4,3,8,Right-handed,Left leg in first,On your left side
Second,4,4,8,Right-handed,Left leg in first,On your left side
Second,5,4,8,Right-handed,Left leg in first,On your left side
Second,6,8,8,Right-handed,Left leg in first,On your left side
Second,7,10,8,Right-handed,Left leg in first,On your left side
Second,7,10,8,Right-handed,Left leg in first,On your left side
Second,8,6,8,Right-handed,Left leg in first,On your left side
Second,8,10,8,Both,Left leg in first,On your left side
Second,9,2,8,Left-handed,Left leg in first,On your left side
Second,9,6,8,Right-handed,Left leg in first,On your left side
Second,3,5,8,Right-handed,Right leg in first,On your left side
Second,3,6,8,Right-handed,Right leg in first,On your left side
Second,4,3,8,Right-handed,Right leg in first,On your left side
Second,4,3,8,Right-handed,Right leg in first,On your left side
Second,4,5,8,Right-handed,Right leg in first,On your left side
Second,4,6,8,Right-handed,Right leg in first,On your left side
Second,4,6,8,Right-handed,Right leg in first,On your left side
Second,5,3,8,Right-handed,Right leg in first,On your left side
Second,5,3,8,Right-handed,Right leg in first,On your left side
Second,5,4,8,Right-handed,Right leg in first,On your left side
Second,5,16,8,Right-handed,Right leg in first,On your left side
Second,6,3,8,Right-handed,Right leg in first,On your left side
Second,6,5,8,Right-handed,Right leg in first,On your left side
Second,7,1,8,Right-handed,Right leg in first,On your left side
Second,7,3,8,Right-handed,Right leg in first,On your left side
Second,7,8,8,Right-handed,Right leg in first,On your left side
Second,8,1,8,Right-handed,Right leg in first,On your left side
Second,8,5,8,Right-handed,Right leg in first,On your left side
Second,8,20,8,Right-handed,Right leg in first,On your left side
Second,9,3,8,Right-handed,Right leg in first,On your left side
Second,2,2,8,Both,I don't know,On your right side
Second,2,4,8,Right-handed,I don't know,On your right side
Second,3,1,8,Right-handed,I don't know,On your right side
Second,3,3,8,Right-handed,I don't know,On your right side
Second,4,4,8,Right-handed,I don't know,On your right side
Second,5,2,8,Right-handed,I don't know,On your right side
Second,7,3,8,Right-handed,I don't know,On your right side
Second,7,5,8,Right-handed,I don't know,On your right side
Second,8,5,8,Right-handed,I don't know,On your right side
Second,8,20,8,Right-handed,I don't know,On your right side
Second,2,1,8,Right-handed,Left leg in first,On your right side
Second,2,3,8,Right-handed,Left leg in first,On your right side
Second,2,4,8,Right-handed,Left leg in first,On your right side
Second,5,3,8,Left-handed,Left leg in first,On your right side
Second,6,5,8,Right-handed,Left leg in first,On your right side
Second,7,3,8,Right-handed,Left leg in first,On your right side
Second,7,4,8,Right-handed,Left leg in first,On your right side
Second,8,7,8,Right-handed,Left leg in first,On your right side
Second,8,7,8,Right-handed,Left leg in first,On your right side
Second,8,15,8,Right-handed,Left leg in first,On your right side
Second,8,15,8,Right-handed,Left leg in first,On your right side
Second,9,15,8,Left-handed,Left leg in first,On your right side
Second,10,10,8,Left-handed,Left leg in first,On your right side
Second,2,2,8,Right-handed,Right leg in first,On your right side
Second,2,2,8,Right-handed,Right leg in first,On your right side
Second,3,3,8,Right-handed,Right leg in first,On your right side
Second,3,3,8,Right-handed,Right leg in first,On your right side
Second,3,5,8,Left-handed,Right leg in first,On your right side
Second,3,5,8,Right-handed,Right leg in first,On your right side
Second,3,5,8,Right-handed,Right leg in first,On your right side
Second,3,6,8,Right-handed,Right leg in first,On your right side
Second,4,4,8,Right-handed,Right leg in first,On your right side
Second,4,5,8,Right-handed,Right leg in first,On your right side
Second,4,5,8,Right-handed,Right leg in first,On your right side
Second,5,2,8,Right-handed,Right leg in first,On your right side
Second,6,2,8,Right-handed,Right leg in first,On your right side
Second,6,5,8,Right-handed,Right leg in first,On your right side
Second,7,3,8,Right-handed,Right leg in first,On your right side
Second,7,5,8,Right-handed,Right leg in first,On your right side
Second,7,5,8,Right-handed,Right leg in first,On your right side
Second,7,6,8,Right-handed,Right leg in first,On your right side
Second,7,8,8,Right-handed,Right leg in first,On your right side
Second,7,8,8,Right-handed,Right leg in first,On your right side
Second,8,3,8,Right-handed,Right leg in first,On your right side
Second,8,3,8,Right-handed,Right leg in first,On your right side
Second,8,5,8,Right-handed,Right leg in first,On your right side
Second,8,6,8,Right-handed,Right leg in first,On your right side
Second,9,6,8,Right-handed,Right leg in first,On your right side
Second,9,7,8,Right-handed,Right leg in first,On your right side
Second,9,10,8,Right-handed,Right leg in first,On your right side
Second,9,20,8,Right-handed,Right leg in first,On your right side
Second,10,15,8,Right-handed,Right leg in first,On your right side
Second,10,50,8,Right-handed,Right leg in first,On your right side
Second,5,10,8,Right-handed,I don't know,On your stomach
Second,6,25,8,Right-handed,I don't know,On your stomach
Second,3,5,8,Right-handed,Left leg in first,On your stomach
Second,4,5,8,Right-handed,Left leg in first,On your stomach
Second,6,6,8,Right-handed,Left leg in first,On your stomach
Second,7,5,8,Right-handed,Left leg in first,On your stomach
Second,7,5,8,Right-handed,Left leg in first,On your stomach
Second,8,7,8,Right-handed,Left leg in first,On your stomach
Second,3,4,8,Right-handed,Right leg in first,On your stomach
Second,3,10,8,Right-handed,Right leg in first,On your stomach
Second,4,3,8,Right-handed,Right leg in first,On your stomach
Second,4,3,8,Right-handed,Right leg in first,On your stomach
Second,5,5,8,Right-handed,Right leg in first,On your stomach
Second,5,8,8,Right-handed,Right leg in first,On your stomach
Second,6,5,8,Right-handed,Right leg in first,On your stomach
Second,6,8,8,Right-handed,Right leg in first,On your stomach
Second,7,10,8,Right-handed,Right leg in first,On your stomach
Second,8,3,8,Right-handed,Right leg in first,On your stomach
Second,8,5,8,Right-handed,Right leg in first,On your stomach
Second,8,7,8,Right-handed,Right leg in first,On your stomach
Second,8,10,8,Right-handed,Right leg in first,On your stomach
Second,9,10,8,Right-handed,Right leg in first,On your stomach
Second,10,20,8,Right-handed,Right leg in first,On your stomach
Third,2,1,8,Right-handed,Left leg in first,On your back
Third,5,1,8,Right-handed,Left leg in first,On your back
Third,6,15,8,Left-handed,Left leg in first,On your back
Third,8,3,8,Right-handed,Left leg in first,On your back
Third,3,2,8,Right-handed,Right leg in first,On your back
Third,3,2,8,Right-handed,Right leg in first,On your back
Third,4,3,8,Right-handed,Right leg in first,On your back
Third,4,3,8,Right-handed,Right leg in first,On your back
Third,4,7,8,Right-handed,Right leg in first,On your back
Third,9,12,8,Right-handed,Right leg in first,On your back
Third,3,3,8,Right-handed,I don't know,On your left side
Third,3,5,8,Right-handed,I don't know,On your left side
Third,7,7,8,Right-handed,I don't know,On your left side
Third,9,15,8,Right-handed,I don't know,On your left side
Third,3,3,8,Right-handed,Left leg in first,On your left side
Third,3,3,8,Right-handed,Left leg in first,On your left side
Third,4,5,8,Right-handed,Left leg in first,On your left side
Third,8,4,8,Right-handed,Left leg in first,On your left side
Third,3,2,8,Right-handed,Right leg in first,On your left side
Third,3,14,8,Right-handed,Right leg in first,On your left side
Third,6,7,8,Right-handed,Right leg in first,On your left side
Third,7,4,8,Right-handed,Right leg in first,On your left side
Third,7,5,8,Right-handed,Right leg in first,On your left side
Third,7,5,8,Right-handed,Right leg in first,On your left side
Third,7,10,8,Right-handed,Right leg in first,On your left side
Third,5,2,8,Right-handed,I don't know,On your right side
Third,7,5,8,Right-handed,I don't know,On your right side
Third,10,6,8,Right-handed,I don't know,On your right side
Third,3,2,8,Right-handed,Left leg in first,On your right side
Third,6,5,8,Right-handed,Left leg in first,On your right side
Third,6,6,8,Right-handed,Left leg in first,On your right side
Third,7,12,8,Right-handed,Left leg in first,On your right side
Third,8,10,8,Left-handed,Left leg in first,On your right side
Third,2,2,8,Right-handed,Right leg in first,On your right side
Third,2,3,8,Right-handed,Right leg in first,On your right side
Third,3,1,8,Right-handed,Right leg in first,On your right side
Third,3,1,8,Right-handed,Right leg in first,On your right side
Third,3,2,8,Right-handed,Right leg in first,On your right side
Third,3,3,8,Right-handed,Right leg in first,On your right side
Third,4,3,8,Right-handed,Right leg in first,On your right side
Third,4,3,8,Right-handed,Right leg in first,On your right side
Third,4,5,8,Right-handed,Right leg in first,On your right side
Third,7,3,8,Right-handed,Right leg in first,On your right side
Third,7,5,8,Right-handed,Right leg in first,On your right side
Third,7,10,8,Right-handed,Right leg in first,On your right side
Third,8,4,8,Right-handed,Right leg in first,On your right side
Third,9,5,8,Right-handed,Right leg in first,On your right side
Third,9,5,8,Right-handed,Right leg in first,On your right side
Third,7,3,8,Left-handed,I don't know,On your stomach
Third,7,7,8,Right-handed,I don't know,On your stomach
Third,7,8,8,Right-handed,I don't know,On your stomach
Third,6,8,8,Right-handed,Left leg in first,On your stomach
Third,6,20,8,Right-handed,Left leg in first,On your stomach
Third,8,4,8,Right-handed,Left leg in first,On your stomach
Third,5,2,8,Right-handed,Right leg in first,On your stomach
Third,6,3,8,Right-handed,Right leg in first,On your stomach
,8,2,8,Right-handed,Right leg in first,On your right side
First,8,15,8.5,Right-handed,I don't know,On your right side
First,6,3,8.5,Right-handed,Right leg in first,On your stomach
First,7,8,8.5,Right-handed,Right leg in first,On your stomach
Fourth,8,1,8.5,Right-handed,I don't know,On your back
Fourth,3,4,8.5,Right-handed,Right leg in first,On your back
Second,10,1,8.5,Right-handed,I don't know,On your left side
Second,4,5,8.5,Right-handed,Right leg in first,On your left side
Second,5,4,8.5,Right-handed,Right leg in first,On your left side
Third,5,5,8.5,Right-handed,I don't know,On your right side
First,3,5,9,Right-handed,Left leg in first,On your back
First,5,6,9,Right-handed,Left leg in first,On your back
First,10,20,9,Left-handed,Left leg in first,On your back
First,4,3,9,Right-handed,Right leg in first,On your back
First,4,7,9,Right-handed,Right leg in first,On your back
First,5,6,9,Right-handed,Right leg in first,On your back
First,7,3,9,Right-handed,Right leg in first,On your back
First,7,10,9,Right-handed,Right leg in first,On your back
First,9,10,9,Right-handed,Right leg in first,On your back
First,9,5,9,Right-handed,I don't know,On your left side
First,3,5,9,Right-handed,Right leg in first,On your left side
First,4,1,9,Right-handed,Right leg in first,On your left side
First,5,4,9,Right-handed,Right leg in first,On your left side
First,7,3,9,Right-handed,Right leg in first,On your left side
First,8,10,9,Right-handed,Right leg in first,On your left side
First,9,10,9,Right-handed,Right leg in first,On your left side
First,7,10,9,Right-handed,I don't know,On your right side
First,6,2,9,Right-handed,Left leg in first,On your right side
First,3,4,9,Right-handed,Right leg in first,On your right side
First,3,9,9,Right-handed,Right leg in first,On your right side
First,5,10,9,Left-handed,Right leg in first,On your right side
First,8,5,9,Right-handed,Right leg in first,On your right side
First,10,3,9,Right-handed,Right leg in first,On your right side
First,6,7,9,Right-handed,Right leg in first,On your stomach
Fourth,3,3,9,Right-handed,I don't know,On your back
Fourth,6,3,9,Right-handed,Right leg in first,On your left side
Fourth,5,4,9,Right-handed,Right leg in first,On your right side
Fourth,6,5,9,Right-handed,Right leg in first,On your right side
Second,5,5,9,Right-handed,I don't know,On your back
Second,5,5,9,Right-handed,Left leg in first,On your back
Second,7,4,9,Right-handed,Left leg in first,On your back
Second,7,5,9,Right-handed,Left leg in first,On your back
Second,2,6,9,Right-handed,Right leg in first,On your back
Second,7,10,9,Right-handed,Right leg in first,On your back
Second,8,2,9,Right-handed,Right leg in first,On your back
Second,10,10,9,Left-handed,Right leg in first,On your back
Second,3,8,9,Right-handed,Left leg in first,On your left side
Second,7,5,9,Right-handed,Left leg in first,On your left side
Second,2,4,9,Right-handed,Right leg in first,On your left side
Second,2,5,9,Right-handed,I don't know,On your right side
Second,3,3,9,Right-handed,I don't know,On your right side
Second,8,5,9,Right-handed,Left leg in first,On your right side
Second,8,5,9,Right-handed,Left leg in first,On your right side
Second,8,20,9,Right-handed,Left leg in first,On your right side
Second,3,2,9,Right-handed,Right leg in first,On your right side
Second,3,6,9,Left-handed,Right leg in first,On your right side
Second,6,15,9,Right-handed,Right leg in first,On your right side
Second,7,3,9,Right-handed,Right leg in first,On your right side
Second,7,6,9,Right-handed,Right leg in first,On your right side
Second,8,5,9,Right-handed,Right leg in first,On your right side
Second,8,10,9,Right-handed,Right leg in first,On your right side
Second,9,15,9,Right-handed,Right leg in first,On your right side
Second,2,7,9,Right-handed,I don't know,On your stomach
Second,3,3,9,Right-handed,Right leg in first,On your stomach
Second,3,3,9,Right-handed,Right leg in first,On your stomach
Second,8,5,9,Right-handed,Right leg in first,On your stomach
Third,8,15,9,Right-handed,Left leg in first,On your back
Third,5,15,9,Right-handed,Right leg in first,On your back
Third,8,5,9,Right-handed,Right leg in first,On your back
Third,2,2,9,Right-handed,I don't know,On your left side
Third,9,4,9,Right-handed,I don't know,On your left side
Third,10,6,9,Right-handed,I don't know,On your left side
Third,4,0,9,Right-handed,Left leg in first,On your left side
Third,9,6,9,Left-handed,Left leg in first,On your left side
Third,3,2,9,Right-handed,Right leg in first,On your right side
Third,7,4,9,Right-handed,Right leg in first,On your right side
Third,1,1,9,Left-handed,Left leg in first,On your stomach
Third,3,3,9,Left-handed,Left leg in first,On your stomach
Third,3,3,9,Left-handed,Left leg in first,On your stomach
Third,8,5,9,Right-handed,Right leg in first,On your stomach
First,2,2,10,Right-handed,I don't know,On your back
First,7,10,10,Right-handed,I don't know,On your back
First,5,10,10,Right-handed,Left leg in first,On your back
First,6,10,10,Left-handed,Left leg in first,On your back
First,8,5,10,Right-handed,I don't know,On your left side
First,5,3,10,Right-handed,Left leg in first,On your left side
First,5,2,10,Right-handed,Left leg in first,On your right side
First,4,5,10,Right-handed,Right leg in first,On your right side
First,8,5,10,Right-handed,Right leg in first,On your stomach
Fourth,5,2,10,Right-handed,Left leg in first,On your left side
Fourth,7,5,10,Right-handed,Left leg in first,On your right side
Second,5,1,10,Right-handed,Right leg in first,On your back
Second,7,2,10,Right-handed,Right leg in first,On your back
Second,7,5,10,Right-handed,Right leg in first,On your back
Second,8,10,10,Right-handed,Right leg in first,On your back
Second,4,3,10,Right-handed,Left leg in first,On your left side
Second,9,6,10,Right-handed,Left leg in first,On your left side
Second,2,4,10,Right-handed,Right leg in first,On your left side
Second,4,3,10,Right-handed,Right leg in first,On your right side
Second,6,5,10,Right-handed,Right leg in first,On your right side
Second,8,7,10,Right-handed,Right leg in first,On your right side
Second,5,1,10,Right-handed,Right leg in first,On your stomach
Second,7,5,10,Right-handed,Right leg in first,On your stomach
Third,6,3,10,Right-handed,Right leg in first,On your right side
Second,7,2,11,Right-handed,Left leg in first,On your stomach
First,1,0,12,Right-handed,I don't know,On your left side
Second,5,30,12,Right-handed,Left leg in first,On your back
Second,1,0,12,Right-handed,Left leg in first,On your right side
First,8,11,16,Left-handed,Right leg in first,On your right side